datetime,device_name,frequency,humidity,latitude,longitude,network,pm2_5,pm2_5_calibrated_value,site_name,temperature
2026-01-19 14:00:00+00:00,airqo_g5341,hourly,71.6,0.333692143,32.56863729,airqo,14.46,14.46,Makerere University Weather Station 94,29.45285714
2026-01-19 14:00:00+00:00,aq_g501,hourly,0,0,0,airqo,17.42,17.42,Makerere University Weather Station 94,0
2026-01-19 15:00:00+00:00,airqo_g5341,hourly,75.494,0.333555,32.568611,airqo,14.21,14.21,Makerere University Weather Station 94,26.942
2026-01-19 15:00:00+00:00,aq_g501,hourly,0,0,0,airqo,18.62,18.62,Makerere University Weather Station 94,0
2026-01-19 16:00:00+00:00,airqo_g5341,hourly,81.38285714,0.333557286,32.56858586,airqo,13.2,13.2,Makerere University Weather Station 94,25.27428571
2026-01-19 16:00:00+00:00,aq_g501,hourly,0,0,0,airqo,22.57,22.57,Makerere University Weather Station 94,0
2026-01-19 17:00:00+00:00,airqo_g5341,hourly,89.75857143,0.333563,32.568523,airqo,34.54,34.54,Makerere University Weather Station 94,24.45714286
2026-01-19 17:00:00+00:00,aq_g501,hourly,0,0,0,airqo,31.24,31.24,Makerere University Weather Station 94,0
2026-01-19 18:00:00+00:00,airqo_g5341,hourly,94.48142857,0.333834,32.56855586,airqo,28.59,28.59,Makerere University Weather Station 94,24.18571429
2026-01-19 18:00:00+00:00,aq_g501,hourly,0,0,0,airqo,26.37,26.37,Makerere University Weather Station 94,0
2026-01-19 19:00:00+00:00,airqo_g5341,hourly,94.58,0.333565,32.568638,airqo,19.55,19.55,Makerere University Weather Station 94,23.86714286
2026-01-19 19:00:00+00:00,aq_g501,hourly,0,0,0,airqo,24.68,24.68,Makerere University Weather Station 94,0
2026-01-19 20:00:00+00:00,airqo_g5341,hourly,,0.333539667,32.568658,airqo,37.06,,Makerere University Weather Station 94,22.95166667
2026-01-19 20:00:00+00:00,aq_g501,hourly,0,0,0,airqo,26.22,26.22,Makerere University Weather Station 94,0
2026-01-19 21:00:00+00:00,airqo_g5341,hourly,,0.333527,32.568668,airqo,38.45,,Makerere University Weather Station 94,22.28
2026-01-19 21:00:00+00:00,aq_g501,hourly,0,0,0,airqo,25.15,25.15,Makerere University Weather Station 94,0
2026-01-19 22:00:00+00:00,airqo_g5341,hourly,,0.333527,32.568668,airqo,37.92,,Makerere University Weather Station 94,22.084
2026-01-19 22:00:00+00:00,aq_g501,hourly,0,0,0,airqo,25.92,25.92,Makerere University Weather Station 94,0
2026-01-19 23:00:00+00:00,aq_g501,hourly,0,0,0,airqo,25.63,25.63,Makerere University Weather Station 94,0
2026-01-19 23:00:00+00:00,airqo_g5341,hourly,,0.333472,32.568584,airqo,41.66,,Makerere University Weather Station 94,21.51
2026-01-20 00:00:00+00:00,aq_g501,hourly,0,0,0,airqo,28.33,28.33,Makerere University Weather Station 94,0
2026-01-20 00:00:00+00:00,airqo_g5341,hourly,,0.333482714,32.56855686,airqo,44.53,,Makerere University Weather Station 94,21.57714286
2026-01-20 01:00:00+00:00,airqo_g5341,hourly,,0.333948,32.565109,airqo,45.63,,Makerere University Weather Station 94,21.62
2026-01-20 01:00:00+00:00,aq_g501,hourly,0,0,0,airqo,28.82,28.82,Makerere University Weather Station 94,0
2026-01-20 02:00:00+00:00,airqo_g5341,hourly,,0.333948,32.565109,airqo,50.61,,Makerere University Weather Station 94,21.465
2026-01-20 02:00:00+00:00,aq_g501,hourly,0,0,0,airqo,31.82,31.82,Makerere University Weather Station 94,0
